watersysteem_id;locatie_naam;locatie_code;locatie_omschrijving;geometry
IJsselmeer;Kornwerderzand IJsselmeer Middelgronden;kornwerderzand.ijsselmeer.middelgronden;Kornwerderzand IJsselmeer Middelgronden;c(5.3103, 53.05167)
IJsselmeer;Vrouwezand, meetpaal;vrouwezand.meetpaal;Friese kust;c(5.487566, 52.810405)
IJsselmeer;Den Oever, IJsselmeer binnenhaven;denoever.ijsselmeer.binnenhaven;Den Oever, IJsselmeer binnenhaven;c(5.047539, 52.930195)
IJsselmeer;Kornwerderzand, IJsselmeer binnenhaven;kornwerderzand.ijsselmeer.binnenhaven;Kornwerderzand, IJsselmeer binnenhaven;c(5.337321, 53.06835)
IJsselmeer;Rotterdamse Hoek, meetpaal FL2;rotterdamsehoek.meetpaalfl2;Rotterdamse Hoek, meetpaal FL2;c(5.550114, 52.748229)
IJsselmeer;Kadoelen, Zwanediep;kadoelen.zwanediep;Kadoelen, Zwanediep;c(5.981641, 52.658243)
IJsselmeer;Krabbersgat, IJsselmeer;krabbersgat.ijsselmeer;voorheen, noord;c(5.284, 52.694)
IJsselmeer;Ramspolkering Ketelmeerzijde;ramspolkering.ketelmeer;0;c(5.84081401, 52.610468)
IJsselmeer;Lemmer, IJsselmeer;lemmer.ijsselmeer;Lemmer, IJsselmeer;c(5.71, 52.838)
IJsselmeer;Lelystad, Houtribsluis, noord;lelystad.houtribsluis.noord;Lelystad, Houtribsluis, noord;c(5.435, 52.531)
IJsselmeer;Ramspolbrug, Ramsdiep;ramspolbrug.ramsdiep;Ramspolbrug, Ramsdiep;c(5.841944, 52.612666)
IJsselmeer;Lemmer IJsselmeer Woudagemaal;lemmer.ijsselmeer.woudagemaal;Lemmer IJsselmeer Woudagemaal;c(5.67997, 52.8461)
IJsselmeer;Ketelhaven, Ketelmeer;ketelhaven.ketelmeer;voorheen Ketelmond;c(5.7627, 52.5825)
IJsselmeer;Zeughoek;zeughoek;Zeughoek;c(5.113911, 52.844769)
Julianakanaal;Bunde, kanaal;bunde.kanaal;Bunde, kanaal;c(5.7247, 50.906308)
Julianakanaal;Echt;echt.kanaal;JK 29.59;c(5.849302, 51.106626)
Julianakanaal;Maastricht, Borgharen, Julianakanaal;maastricht.borgharen.julianakanaal;Maastricht, Borgharen, Julianakanaal;c(5.6995, 50.869)
Nieuwe Maas;Brienenoord;brienenoord;kilometer 996.5;c(4.525587, 51.899898)
Nieuwe Maas;Rotterdam, Lekhaven;rotterdam.lekhaven;rechter oever km 1005.2;c(4.429597, 51.904099)
Nieuwe Maas;Rotterdam, Brienenoordbrug;rotterdam.brienenoordbrug;rechter oever kilometer 995.2;c(4.542468, 51.90525)
Nieuwe Maas;Rotterdam, Nieuwe Maas, Boerengat;rotterdam.nieuwemaas.boerengat;Rotterdam, Nieuwe Maas, Boerengat;c(4.5003, 51.9184)
Nieuwe Maas;Parksluis;parksluis;Parksluis;c(4.464452, 51.906535)
Nieuwe Maas;Vlaardingen;vlaardingen;Vlaardingen;c(4.349048, 51.899639)
Nieuwe Maas;Rotterdam IJzerwerkerkade;rotterdam.ijzerwerkerkade;Radarpost 23;c(4.51838, 51.89947)
Nieuwe Maas;Rotterdam Kuip;rotterdam.kuip;Rotterdam Kuip;c(4.518375, 51.899467)
Nieuwe Waterweg;Hoek van Holland;hoekvanholland;rechter oever kilometer 1030.1;c(4.119827, 51.976899)
Nieuwe Waterweg;Hoek van Holland, Maeslantkering, Beneden, noord;hoekvanholland.maeslantkering.beneden.noord;zeezijde;c(4.161443, 51.958239)
Nieuwe Waterweg;Rozenburgsesluis, zuidzijde;rozenburgsesluis.zuidzijde;Rozenburgsesluis, zuidzijde;c(4.229823, 51.891244)
